gate,check,value,criterion,status,note
B7,M1: field physical (0 limited / 0 floored),0/0,== 0/0,PASS,
B7,M1: M_max physical,1.392,< 2.5,PASS,P5 1.398 (Picard) / P8 2.13 (Newton)
B7,M1: residual bounded (Picard tail; not divergence),6.1e-06,< 1e-4,PASS,3/7 levels reached tol_residual=1e-7; the rest park on the tail -> LS Newton (deferred on M6)
B7,M1: Gamma(z) tip -> 0 (spanwise clip),-0.0000,< 0.02 (P5: 0.0206),PASS,
B7,M1: Gamma(z) positive everywhere,min -0.0000,> -1e-3,PASS,
B7,M1: Gamma(z) decays monotonically on the outer half,0 violations,== 0,PASS,
B7,M1: cl_KJ vs the conforming NEWTON truth,0.2767 (+2.8% of P8),within +-10% of P8,PASS,P8 Newton 0.2692; conforming Picard P5 0.2479 (+11.6% away) under-circulates
B7,M1: V6 circulation/pressure consistency,1.78%,< 5%,PASS,P5 coarse 2.40%
B7,M1: eta=0.44 upper shock present & monotone,x/c 0.636,has & monotone & no expansion,PASS,
B7,M1: eta=0.65 upper shock present & monotone,x/c 0.588,has & monotone & no expansion,PASS,
B7,M1: eta=0.9 upper shock present & monotone,x/c 0.449,has & monotone & no expansion,PASS,
B7,M1: eta=0.44 shock within +-0.06 of P5,0.636 (P5 0.596),|dx/c| <= 0.06,PASS,
B7,M1: eta=0.65 shock within +-0.06 of P5,0.588 (P5 0.570),|dx/c| <= 0.06,PASS,
B7,M1: eta=0.9 shock within +-0.06 of P5,0.449 (P5 0.425),|dx/c| <= 0.06,PASS,
B7,M1: shock migrates FORWARD toward the tip,x90 0.449 vs x65 0.588,x90 <= x65 + 0.05,PASS,
B7,M4: field physical (0 limited / 0 floored),0/0,== 0/0,PASS,
B7,M4: M_max physical,1.368,< 2.5,PASS,P5 1.398 (Picard) / P8 2.13 (Newton)
B7,M4: residual bounded (Picard tail; not divergence),2.6e-06,< 1e-4,PASS,4/7 levels reached tol_residual=1e-7; the rest park on the tail -> LS Newton (deferred on M6)
B7,M4: Gamma(z) tip -> 0 (spanwise clip),0.0003,< 0.02 (P5: 0.0206),PASS,
B7,M4: Gamma(z) positive everywhere,min 0.0003,> -1e-3,PASS,
B7,M4: Gamma(z) decays monotonically on the outer half,0 violations,== 0,PASS,
B7,M4: cl_KJ vs the conforming NEWTON truth,0.2710 (+0.7% of P8),within +-10% of P8,PASS,P8 Newton 0.2692; conforming Picard P5 0.2479 (+9.3% away) under-circulates
B7,M4: V6 circulation/pressure consistency,1.98%,< 5%,PASS,P5 coarse 2.40%
B7,M4: eta=0.44 upper shock present & monotone,x/c 0.635,has & monotone & no expansion,PASS,
B7,M4: eta=0.65 upper shock present & monotone,x/c 0.584,has & monotone & no expansion,PASS,
B7,M4: eta=0.9 upper shock present & monotone,x/c 0.455,has & monotone & no expansion,PASS,
B7,M4: eta=0.44 shock within +-0.06 of P5,0.635 (P5 0.596),|dx/c| <= 0.06,PASS,
B7,M4: eta=0.65 shock within +-0.06 of P5,0.584 (P5 0.570),|dx/c| <= 0.06,PASS,
B7,M4: eta=0.9 shock within +-0.06 of P5,0.455 (P5 0.425),|dx/c| <= 0.06,PASS,
B7,M4: shock migrates FORWARD toward the tip,x90 0.455 vs x65 0.584,x90 <= x65 + 0.05,PASS,
B7,M1: Gamma(z) spanwise-smooth WITHOUT any smoothing,0.0081 (12x smoother than P5),< 1/3 of the conforming P5 jitter,PASS,P5 per-station secant jitter 0.0970; the implicit Kutta has no per-station loop (Gamma is one solution mode)
B7,M4: Gamma(z) spanwise-smooth WITHOUT any smoothing,0.0091 (11x smoother than P5),< 1/3 of the conforming P5 jitter,PASS,P5 per-station secant jitter 0.0970; the implicit Kutta has no per-station loop (Gamma is one solution mode)
B7,dual-mesh A/B: cl_KJ (M1 embedded vs M4 wake-free),2.04%,< 10%,PASS,M4 is within 6-9% of M1's tet count at equal h_wall (the controlled comparison)
B7,far field (a): span-uniform vortex + alpha-aimed sheet is NOT coplanar with the branch cut -> outlet artifact,outlet M 0.958 vs neumann 0.512,vortex >> neumann,PASS,
B7,far field (b): re-aiming coplanar SHRINKS but does not remove it (span-uniform Gamma != Gamma(z)),outlet M 0.825 (alpha-aimed 0.958; neumann 0.512),neumann < coplanar < alpha-aimed,PASS,
