gate,check,value,criterion,status,note
B8,every LS solve converged; 0 limited / 0 floored,True,all True,PASS,the row blend is numerically well behaved at every r_c
B8,UNTAPERED LS tip edge DIVERGES (off-body box),0.672->1.532; p=+1.341,p > 0.25,PASS,reproduces G13.1's level-set exponent (1.34) on the same meshes -- the metric is measuring the right object
B8,the blend DOES unload the tip circulation (q >= 1),q=4.73 at vanish_linear_rc0.05,q >= 1,PASS,Gamma_last ~ h^q. The conforming criterion (G13.2) is q >= 1; the blend clears it by a wide margin
B8,the blend is LOCAL (inboard Gamma untouched),+0.01% at vanish_linear_rc0.05,|change| < 2%,PASS,
B8,* FINDING: the tip edge STILL diverges under every taper,vanish_smooth_rc0.03:p=+1.37  vanish_smooth_rc0.05:p=+1.41  vanish_smooth_rc0.08:p=+1.58  vanish_linear_rc0.05:p=+1.37,p > 0.25 for all (the taper does NOT bound it),PASS,THE GATE'S MECHANISM CLAUSE IS NOT MET; and not because the blend misbehaves -- it clears its own q>=1 criterion. Killing Gamma_last does not kill the peak
B8,* FINDING: p ~ 1-q does NOT hold on the level-set path,q=4.73 => 1-q=-3.73; but p=+1.37,p differs from 1-q by > 1,PASS,G13.2's DISCRETE mechanism (the outermost TE station sheds Gamma_last as a concentrated vortex over the last cell; so edge ~ Gamma_last/h and p = 1-q) is what the taper is built on. It does not transfer: the LS tip peak is NOT driven by the shed circulation
B8,* FINDING: lift cost ~0 because there is nothing to unload,level-set +0.03% vs conforming -1.74%,|dcl| < 0.5% (vs conforming's -1.74%),PASS,the LS implicit Kutta ALREADY drives Gamma(tip)->0 emergently (B7: +-3e-4). The conforming path NEEDS the taper because its free-edge rule leaves Gamma_last ~ sqrt(h) (q=0.44). The level-set path never had that disease
B8,* MECHANISM: the peak cell is OUTBOARD of the geometric tip,z/b=1.0118; dx=+0.0606,z/b > 1.0,PASS,it is a `beyond_tip` element -- one the SPANWISE CLIP refuses to cut (cut_elements.py: crossings need q <= span_length); i.e. where the embedded sheet TERMINATES
B8,* MECHANISM: the taper does not even move the peak cell,untapered elem 93977 == tapered elem 93977,same element,PASS,
B8,* MECHANISM: it is NOT a small-cut sliver,V/median = 0.71; cut=False,normal volume (V/median > 0.3); not a cut element,PASS,rules out the CutFEM small-cut instability -- the element is ordinary; what is singular is the sheet's TERMINATION
B8,A/B: conforming baseline also diverges (committed CSV),conforming p=+0.521 | level-set p=+1.341,both p > 0.25,PASS,same M6 meshes; same M0.5/alpha3.06 -- READ from p13_tip_edge_singularity/results/taper_probe.csv; not recomputed (cost discipline)
B8,* A/B VERDICT: the taper works on ONE path only (vanish_linear_rc0.05),conforming p=+0.103 (bounded) | level-set p=+1.367 (diverges),conforming |p| < 0.25 AND level-set p > 0.25,PASS,THE two-path A/B RESULT. The SAME F(z); the SAME meshes; the SAME condition: the conforming taper bounds its edge; the level-set row blend does not. The two paths' tip singularities are DIFFERENT OBJECTS; so finding (8)'s 'clean analogue' targets the wrong one
