gate,check,value,criterion,status,note
no-lift[M0],Gamma at alpha = 0 (M0 (embedded)),-3.89e-04,|Gamma| < 1e-3 (symmetric => no circulation),PASS,
lift[M0],Gamma at alpha = 4 (M0 (embedded)),0.2384,> 0.2 (the level-set path develops circulation),PASS,
no-lift[M3],Gamma at alpha = 0 (M3 (wake-free)),-4.15e-04,|Gamma| < 1e-3 (symmetric => no circulation),PASS,
lift[M3],Gamma at alpha = 4 (M3 (wake-free)),0.2339,> 0.2 (the level-set path develops circulation),PASS,
enrichment-cost,aux DOFs / main DOFs,9.5%,< 15% (the enrichment is a thin strip),PASS,
te-kutta-cv,TE Kutta control volumes are wall-adjacent,2u / 2l,both non-empty,PASS,
jump-convected,|[phi](far) - [phi](near)| / [phi],0.0%,< 10% (no drain: the far-field aux DOFs are free),PASS,
jump-is-gamma,[phi] near the TE vs the reported Gamma,0.0%,< 10%,PASS,
cp-vs-conforming,cl_p alpha=4: M0 level set vs conforming,0.4770 vs 0.4786,within 3%,PASS,
D11,cl_p vs cl_KJ = 2*Gamma (M0; alpha=4),0.4770 vs 0.4769,within 5% (per-side wall mapping is correct),PASS,
cp-wakefree,cl_p alpha=4: M3 wake-free vs conforming,0.4674 vs 0.4786,within 5%,PASS,
wake-free,M3 mesh has NO `wake` tag,False,False (topology knows nothing about the wake),PASS,
dual-mesh,wake-free Gamma vs embedded Gamma,0.2339 vs 0.2384 (1.9%),within 5% (generic cuts reproduce the embedded result),PASS,
